comments,N,lang,en-en,comments
"She was very helpful before, during and after our stay!",1,english,en-en,"She was very helpful before, during and after our stay!"
Wonderful Stay.,1,english,en-en,Wonderful Stay.
Had a great weekend,1,english,en-en,Had a great weekend
"Everything was wonderful! 
Had a loveley stay",1,english,en-en,"Everything was wonderful! 
Had a loveley stay"
"Greta is very nice, discret and helpful.",1,english,en-en,"Greta is very nice, discret and helpful."
Marine made me feel at home and was very flexible to accomodate me.,1,english,en-en,Marine made me feel at home and was very flexible to accomodate me.
Good and genuine.,1,english,en-en,Good and genuine.
Great host. Thank you Fin,1,english,en-en,Great host. Thank you Fin
had a wonderful stay,1,english,en-en,had a wonderful stay
"verygood!
房东很贴心,好评",1,english,en-en,"verygood!
房东很贴心,好评"
We had wonderful week in Paris.,1,english,en-en,We had wonderful week in Paris.
"Alessandro, Luca's room mate was very welcoming. ",1,english,en-en,"Alessandro, Luca's room mate was very welcoming. "
Everything was good. Rob is very helpful.,1,english,en-en,Everything was good. Rob is very helpful.
Stephanie was very kind and friendly,1,english,en-en,Stephanie was very kind and friendly
A wonderfully cosy haven :-),1,english,en-en,A wonderfully cosy haven :-)
"Thanks, Daniel.",1,english,en-en,"Thanks, Daniel."
very good place.,2,english,en-en,very good place.
Sophies is very nice,1,english,en-en,Sophies is very nice
Our host Natalie was so welcoming! We had a wonderful stay whilst in Paris,1,english,en-en,Our host Natalie was so welcoming! We had a wonderful stay whilst in Paris
She is very kind and helpful.,1,english,en-en,She is very kind and helpful.
We had a great stay at Manuels'. His Cousin was very friendly and helpful.,1,english,en-en,We had a great stay at Manuels'. His Cousin was very friendly and helpful.
"very sweet house,I like It",1,english,en-en,"very sweet house,I like It"
"Wonderful host , enjoyed our stay immensely.",1,english,en-en,"Wonderful host , enjoyed our stay immensely."
Taleb was a very good host,1,english,en-en,Taleb was a very good host
"Everthing was wonderful 
Tranks ",1,english,en-en,"Everthing was wonderful 
Tranks "
Landlord is very friendly and helpful.,1,english,en-en,Landlord is very friendly and helpful.
Good home,1,english,en-en,Good home
"Christophe, met me outside and helped with my luggage. He was very friendly
 ",1,english,en-en,"Christophe, met me outside and helped with my luggage. He was very friendly
 "
"Wonderful stay. Christophe is a fantastic host. 100% would recommend. He was so helpful, kind, generous, accommodating, and funny.",1,english,en-en,"Wonderful stay. Christophe is a fantastic host. 100% would recommend. He was so helpful, kind, generous, accommodating, and funny."
"She was very nice and quick answer.
쌰워쉴이넘흐쬽아효인횽샹쟈같은거빼묜죵말죠훈숙쇼임늬댜",1,english,en-en,"She was very nice and quick answer.
쌰워쉴이넘흐쬽아효인횽샹쟈같은거빼묜죵말죠훈숙쇼임늬댜"
"Great place, one wonderful week in Paris!",1,english,en-en,"Great place, one wonderful week in Paris!"
Great spot and Charles was very helpful.,1,english,en-en,Great spot and Charles was very helpful.
Everything you could want. Jimmy was also very helpful,1,english,en-en,Everything you could want. Jimmy was also very helpful
Denis was awesome. Só helpfull.,1,english,en-en,Denis was awesome. Só helpfull.
"Friendly host, made our stay in Paris very helpful!",1,english,en-en,"Friendly host, made our stay in Paris very helpful!"
"Our stay was wonderful and Jamila is a great host, ",1,english,en-en,"Our stay was wonderful and Jamila is a great host, "
Patricia was very kind and she make us feel very welkom.,1,english,en-en,Patricia was very kind and she make us feel very welkom.
"Nice guy, very helpful",1,english,en-en,"Nice guy, very helpful"
lola is very kind~~~ also house is very cool!!,1,english,en-en,lola is very kind~~~ also house is very cool!!
Eveything was great...we love Aurelie she is very kind and we felt like in our house....thanks a lot!,1,english,en-en,Eveything was great...we love Aurelie she is very kind and we felt like in our house....thanks a lot!
Little messy house,1,english,en-en,Little messy house
Wonderful stay. Thank you!,1,english,en-en,Wonderful stay. Thank you!
It was a cozy home and we had a wonderful weekend :),1,english,en-en,It was a cozy home and we had a wonderful weekend :)
It is a good house.,1,english,en-en,It is a good house.
Great view. Wonderful hospitality,1,english,en-en,Great view. Wonderful hospitality
Christine was very helpful with emails,1,english,en-en,Christine was very helpful with emails
"Great host, wonderful room. Enjoyed.",1,english,en-en,"Great host, wonderful room. Enjoyed."
She was very helpful,1,english,en-en,She was very helpful
"The room view is very nice,it's very nice host. thank you martine.",1,english,en-en,"The room view is very nice,it's very nice host. thank you martine."
Everything was very good.,2,english,en-en,Everything was very good.
"very nice """"home"""" in Paris...",1,english,en-en,"very nice """"home"""" in Paris..."
It was all very good.,2,english,en-en,It was all very good.
I had a wonderful time in Dali's apt. He was helpful and hospitable.,1,english,en-en,I had a wonderful time in Dali's apt. He was helpful and hospitable.
Very helpful hosts,1,english,en-en,Very helpful hosts
Great walkup with an awesome view,1,english,en-en,Great walkup with an awesome view
"Sylviane is  great host,  she made me feel very welcome",1,english,en-en,"Sylviane is  great host,  she made me feel very welcome"
"fantastic,she was very helpful,and nicely",1,english,en-en,"fantastic,she was very helpful,and nicely"
It's very wonderful trip in Paris.,1,english,en-en,It's very wonderful trip in Paris.
"I have a very nice stay, Nathalie is a wonderful host!",1,english,en-en,"I have a very nice stay, Nathalie is a wonderful host!"
Our stay in Paris was very comfortable. Thank you.,1,english,en-en,Our stay in Paris was very comfortable. Thank you.
He is super friendly and staying was low key and easy,1,english,en-en,He is super friendly and staying was low key and easy
We felt very much at home.,1,english,en-en,We felt very much at home.
View was very good .,1,english,en-en,View was very good .
It was very nice as usual,1,english,en-en,It was very nice as usual
He is very kind and helpful.Thank you Raphael ;),1,english,en-en,He is very kind and helpful.Thank you Raphael ;)
Raphael is a very good host :),1,english,en-en,Raphael is a very good host :)
Everything is wonderful! Raphael is very nice.,1,english,en-en,Everything is wonderful! Raphael is very nice.
Lea was a very helpful host,1,english,en-en,Lea was a very helpful host
Janvier was very helpful n made me feel like home,1,english,en-en,Janvier was very helpful n made me feel like home
"Cool place in Paris, kitchen was very nice to have.",1,english,en-en,"Cool place in Paris, kitchen was very nice to have."
Gabrielle is very accommodating and kind. She make you feel at home and is very relaxed.,1,english,en-en,Gabrielle is very accommodating and kind. She make you feel at home and is very relaxed.
So cute! Julien was very helpful.,1,english,en-en,So cute! Julien was very helpful.
"Wonderful place to stay, it was nice to feel """"at home"""".",1,english,en-en,"Wonderful place to stay, it was nice to feel """"at home""""."
Was very good,1,english,en-en,Was very good
"It was a good hostel.
However, it is too high.
",1,english,en-en,"It was a good hostel.
However, it is too high.
"
Franc wonderful host!:))),1,english,en-en,Franc wonderful host!:)))
Frank's place was wonderful! Merci encore.,1,english,en-en,Frank's place was wonderful! Merci encore.
Good but very small,1,english,en-en,Good but very small
It was very nice.,4,english,en-en,It was very nice.
A wonderful warm greeting from Mia,1,english,en-en,A wonderful warm greeting from Mia
Everything was ok. Julien is very nice host.,1,english,en-en,Everything was ok. Julien is very nice host.
very nice room!we enjoy it.,1,english,en-en,very nice room!we enjoy it.
Sylvain is very host! All was great!,1,english,en-en,Sylvain is very host! All was great!
Cool house.,1,english,en-en,Cool house.
very good overall.,1,english,en-en,very good overall.
Wonderful in every way!,1,english,en-en,Wonderful in every way!
Olivier was very flexible!,1,english,en-en,Olivier was very flexible!
We had a wonderful stay at Mona's place. Mona is very nice and helpful.,1,english,en-en,We had a wonderful stay at Mona's place. Mona is very nice and helpful.
We had a wonderful time.  Thank You,1,english,en-en,We had a wonderful time.  Thank You
"Good stay, what you see is what you get",1,english,en-en,"Good stay, what you see is what you get"
Louise is a wonderful host and she helped make our stay in Paris memorable,1,english,en-en,Louise is a wonderful host and she helped make our stay in Paris memorable
"very clean.
happy house.",1,english,en-en,"very clean.
happy house."
Alexis is very nice man. And he make me feel at home,1,english,en-en,Alexis is very nice man. And he make me feel at home
Marie is very helpful,1,english,en-en,Marie is very helpful
Sylvie is a very nice and attentive host. My stay was very enjoyable. Thanks,1,english,en-en,Sylvie is a very nice and attentive host. My stay was very enjoyable. Thanks
Wonderful. Felt like home but in Paris,1,english,en-en,Wonderful. Felt like home but in Paris
"She was very warmly host.
",1,english,en-en,"She was very warmly host.
"
"Eric was a very responsive, helpful host. Thank you Eric.",1,english,en-en,"Eric was a very responsive, helpful host. Thank you Eric."
Lucie was very helpful and hospitable. Her flat is very clean and lovely.,1,english,en-en,Lucie was very helpful and hospitable. Her flat is very clean and lovely.
We enjoyed meeting Hombeline and staying in her loft. She was a very nice and helpful host. Recommended.,1,english,en-en,We enjoyed meeting Hombeline and staying in her loft. She was a very nice and helpful host. Recommended.
Feel like home,1,english,en-en,Feel like home
hello mr j-noel this house is very very good .i like so much ､thanks you ❤️,1,english,en-en,hello mr j-noel this house is very very good .i like so much ､thanks you ❤️
"Thank you so much and your friend Pierre .. he's very kindly and was very helpful ... 
My stay was wonderful in your flat


Oh ",1,english,en-en,"Thank you so much and your friend Pierre .. he's very kindly and was very helpful ... 
My stay was wonderful in your flat


Oh "
"Wonderful home, well located.",1,english,en-en,"Wonderful home, well located."
Stephan was very helpful in responding to my queries quickly.  I enjoyed my stay.,1,english,en-en,Stephan was very helpful in responding to my queries quickly.  I enjoyed my stay.
Everything was very well - just like last time.,1,english,en-en,Everything was very well - just like last time.
Very sweet woman who does her very best to make you feel welcome.,1,english,en-en,Very sweet woman who does her very best to make you feel welcome.
good house,3,english,en-en,good house
Wonderful flat and Jean Leon was helpful and friendly.,1,english,en-en,Wonderful flat and Jean Leon was helpful and friendly.
I was (again) very happy to stay with Anne. Please see my earlier rating.,1,english,en-en,I was (again) very happy to stay with Anne. Please see my earlier rating.
Magda was very sweet and attentive. The view is like a dream.,1,english,en-en,Magda was very sweet and attentive. The view is like a dream.
At home room,1,english,en-en,At home room
It was very good.,2,english,en-en,It was very good.
"Vincent is very kind. His rental home was very clean and nice. 
Thank you!",1,english,en-en,"Vincent is very kind. His rental home was very clean and nice. 
Thank you!"
Lovely view!,1,english,en-en,Lovely view!
"Christian was a great host, he made our arrival very smooth!
Hope we can stay again some day.",1,english,en-en,"Christian was a great host, he made our arrival very smooth!
Hope we can stay again some day."
"Room was good, Eric is a nice host. ",1,english,en-en,"Room was good, Eric is a nice host. "
Keyi was very friendly. Comfortable room. Lovely dog,1,english,en-en,Keyi was very friendly. Comfortable room. Lovely dog
"I want to visit again here!!
so kind host!",1,english,en-en,"I want to visit again here!!
so kind host!"
Wonderful place. Stay here!,1,english,en-en,Wonderful place. Stay here!
"Wonderful neighbourhood, good shopping.",1,english,en-en,"Wonderful neighbourhood, good shopping."
Claude was very welcoming.,1,english,en-en,Claude was very welcoming.
It was as good as it can get. Paul is very responsive.,1,english,en-en,It was as good as it can get. Paul is very responsive.
Easy to get to,1,english,en-en,Easy to get to
Place is very nice. Would book again.,1,english,en-en,Place is very nice. Would book again.
The neighborhood was excellent.  The host was very helpful.  I enjoyed my stay in Paris.,1,english,en-en,The neighborhood was excellent.  The host was very helpful.  I enjoyed my stay in Paris.
Arthur was a great host. He was very gentle and helpful.,1,english,en-en,Arthur was a great host. He was very gentle and helpful.
" Veronique is a wonderful landlord, kind and easy going. I felt like at home at Veronique’s flat. ",1,english,en-en," Veronique is a wonderful landlord, kind and easy going. I felt like at home at Veronique’s flat. "
very good~,1,english,en-en,very good~
Super week end :),1,english,en-en,Super week end :)
Benjamins flat was in a very beautiful area we had a lot of fun and enjoyned our stay in Paris :),1,english,en-en,Benjamins flat was in a very beautiful area we had a lot of fun and enjoyned our stay in Paris :)
wonderful view~,1,english,en-en,wonderful view~
It was a wonderful stay. We can recommend Eves home.,1,english,en-en,It was a wonderful stay. We can recommend Eves home.
Lovely little flat! Vu was very responsive.,1,english,en-en,Lovely little flat! Vu was very responsive.
"great flat, wonderful neighbourhood! all was good",1,english,en-en,"great flat, wonderful neighbourhood! all was good"
Very big house,1,english,en-en,Very big house
Great neighbourhood. Good value.,1,english,en-en,Great neighbourhood. Good value.
"Martial is a great host, very helpful",1,english,en-en,"Martial is a great host, very helpful"
Had a great visit! Kevin's home had a great view - he was very accommodating to our travel schedule.,1,english,en-en,Had a great visit! Kevin's home had a great view - he was very accommodating to our travel schedule.
Did not meet host.,1,english,en-en,Did not meet host.
Sweet,1,english,en-en,Sweet
Stephanie is a great host,1,english,en-en,Stephanie is a great host
Host was very accommodating,1,english,en-en,Host was very accommodating
Everything was .  I'm very satisfied.,1,english,en-en,Everything was .  I'm very satisfied.
"It's very nice room,very sweet home ",1,english,en-en,"It's very nice room,very sweet home "
"Dear Sophie.
You were very kindful and my family send to you thanks. Your apartment was good to ours. We have good memories about you and your house.

From  Moon",1,english,en-en,"Dear Sophie.
You were very kindful and my family send to you thanks. Your apartment was good to ours. We have good memories about you and your house.

From  Moon"
Sandy was very accommodating !,1,english,en-en,Sandy was very accommodating !
"what a wonderful home & wonderful people. We so enjoyed our stay. Laredj is so helpful, knowledgeable, and kind.",1,english,en-en,"what a wonderful home & wonderful people. We so enjoyed our stay. Laredj is so helpful, knowledgeable, and kind."
Very nice cosy flat. Estelle is very friendly.,1,english,en-en,Very nice cosy flat. Estelle is very friendly.
quiet neighbourhood and makes you feel home.,1,english,en-en,quiet neighbourhood and makes you feel home.
Excellent! Loved staying. Coralie was very helpful and nice.,1,english,en-en,Excellent! Loved staying. Coralie was very helpful and nice.
Helpful host however neighbours could get noisy,1,english,en-en,Helpful host however neighbours could get noisy
"Great area, great view, good host. ",1,english,en-en,"Great area, great view, good host. "
"Everything was fine.
Thank you",1,english,en-en,"Everything was fine.
Thank you"
We have wonderful days in paris. Thank you,1,english,en-en,We have wonderful days in paris. Thank you
Very very helpfull and friendly Host...thank you,1,english,en-en,Very very helpfull and friendly Host...thank you
"Jonathan is an amazing host - very kind and friendly, outstandingly helpful and responsive. we stayed a good 8 nights in his apartment and it was very warm and cozy in the winter time. Heaters works very well, amazing bed and blankets, good hot shower - it's everything we need after a long day of work. Short walk to supermarket and metro station Stalingrad. ",1,english,en-en,"Jonathan is an amazing host - very kind and friendly, outstandingly helpful and responsive. we stayed a good 8 nights in his apartment and it was very warm and cozy in the winter time. Heaters works very well, amazing bed and blankets, good hot shower - it's everything we need after a long day of work. Short walk to supermarket and metro station Stalingrad. "
Mag was great and very helpful!,1,english,en-en,Mag was great and very helpful!
Despite changes in our flights Isabel was very accommodating.  We very much enjoyed our  stay.,1,english,en-en,Despite changes in our flights Isabel was very accommodating.  We very much enjoyed our  stay.
Juan was great! very helpfull.,1,english,en-en,Juan was great! very helpfull.
"very Good,very nice~",1,english,en-en,"very Good,very nice~"
It was a wonderful journey and sweet flat.,1,english,en-en,It was a wonderful journey and sweet flat.
very nice room.,1,english,en-en,very nice room.
"Very nice room. Clean, well equiped. Bree was a very nice host. I really enjoy my stay here. ",1,english,en-en,"Very nice room. Clean, well equiped. Bree was a very nice host. I really enjoy my stay here. "
Super week-end,3,english,en-en,Super week-end
Treat yourself. Stay here.,1,english,en-en,Treat yourself. Stay here.
Home from home,1,english,en-en,Home from home
"She is very helpful amd everything was in order
Thanks for hosting us
",1,english,en-en,"She is very helpful amd everything was in order
Thanks for hosting us
"
Raquel was very polite and helpful during our stay... Place is good located.,1,english,en-en,Raquel was very polite and helpful during our stay... Place is good located.
het was heel leuk,1,english,en-en,het was heel leuk
Great spot. Jordane very helpful.,1,english,en-en,Great spot. Jordane very helpful.
Very sweet lady very helpful beautiful home,1,english,en-en,Very sweet lady very helpful beautiful home
Chantals place was wonderful,1,english,en-en,Chantals place was wonderful
wonderful stay here!,1,english,en-en,wonderful stay here!
"Very nice, clean & cute hotel.
Staff very friendly.
Breakfast was great.",1,english,en-en,"Very nice, clean & cute hotel.
Staff very friendly.
Breakfast was great."
Beautiful home. Very kind host. Convenient but quiet.,1,english,en-en,Beautiful home. Very kind host. Convenient but quiet.
Jordie has be,1,english,en-en,Jordie has be
very good house,1,english,en-en,very good house
Lovely Airbnb in Paris!! Everyone was so nice.,1,english,en-en,Lovely Airbnb in Paris!! Everyone was so nice.
Antoine is very kind man. It was a wonderful experience at Paris.,1,english,en-en,Antoine is very kind man. It was a wonderful experience at Paris.
Malo made us feel very welcome. She is a wonderful host.,1,english,en-en,Malo made us feel very welcome. She is a wonderful host.
"Thank you so much, we had a wonderful time",1,english,en-en,"Thank you so much, we had a wonderful time"
Very comfortable with a wonderful view! Louison was very helpful!,1,english,en-en,Very comfortable with a wonderful view! Louison was very helpful!
Fantastic hosts!  Your place was wonderful!,1,english,en-en,Fantastic hosts!  Your place was wonderful!
Very good hotel,1,english,en-en,Very good hotel
Everybody was very friendly,1,english,en-en,Everybody was very friendly
"He was helpful , very friendly. Cozy place , near to metro lines . Great host ! ",1,english,en-en,"He was helpful , very friendly. Cozy place , near to metro lines . Great host ! "
This was a great place.  We had a wonderful weekend in paris,1,english,en-en,This was a great place.  We had a wonderful weekend in paris
Nice house. David is helpful.,1,english,en-en,Nice house. David is helpful.
It was very good!!,1,english,en-en,It was very good!!
Great place to stop in Paris! Charles is very helpful. It was good choice.,1,english,en-en,Great place to stop in Paris! Charles is very helpful. It was good choice.
very great,1,english,en-en,very great
It was wonderful :-),1,english,en-en,It was wonderful :-)
Isabelle was very nice. We never met Boris,1,english,en-en,Isabelle was very nice. We never met Boris
"Very nice flat, Caroline was a very friendly host. My weekend at Paris wouldn't be the same if I stayed somewhere else. Really nice",1,english,en-en,"Very nice flat, Caroline was a very friendly host. My weekend at Paris wouldn't be the same if I stayed somewhere else. Really nice"
"Great room, great view! Sylvie was very friendly and nice. I had a great time. ",1,english,en-en,"Great room, great view! Sylvie was very friendly and nice. I had a great time. "
Shop is very close,1,english,en-en,Shop is very close
Aggy was nice and very accommodating. She made our Airbnb stay easy.,1,english,en-en,Aggy was nice and very accommodating. She made our Airbnb stay easy.
Aggy is so very kind,1,english,en-en,Aggy is so very kind
Jules is a wonderful host! So nice and helpful. It was a great stay!,1,english,en-en,Jules is a wonderful host! So nice and helpful. It was a great stay!
Your direct message is good. :),1,english,en-en,Your direct message is good. :)
Very nice Hotel woth very buitiful service thank you five stars,1,english,en-en,Very nice Hotel woth very buitiful service thank you five stars
"2 minute walk to metro, area was okay.  Mélanie was very helpful! ",1,english,en-en,"2 minute walk to metro, area was okay.  Mélanie was very helpful! "
Dejan was friendly and helpful,1,english,en-en,Dejan was friendly and helpful
She is very nice,1,english,en-en,She is very nice
Lovely host! Feels like home.,1,english,en-en,Lovely host! Feels like home.
It's very good flat to enjoy your energy,1,english,en-en,It's very good flat to enjoy your energy
Julien was very helpful!,1,english,en-en,Julien was very helpful!
"Charming place, wonderful stay and Dimitri was very responsive.",1,english,en-en,"Charming place, wonderful stay and Dimitri was very responsive."
Bruno was very accomodating.,1,english,en-en,Bruno was very accomodating.
"nice place, away was very kind and helpful",1,english,en-en,"nice place, away was very kind and helpful"
"Carola was very friendly and helpful, and we really enjoyed our stay here!",1,english,en-en,"Carola was very friendly and helpful, and we really enjoyed our stay here!"
All you need to get some rest after long day .,1,english,en-en,All you need to get some rest after long day .
"Had a great time, very helpful host",1,english,en-en,"Had a great time, very helpful host"
Cosy room in a quite neighbourhood!,1,english,en-en,Cosy room in a quite neighbourhood!
Great place to stay wonderful view. Very helpful host. Everything was awesome. Definitely recommend,1,english,en-en,Great place to stay wonderful view. Very helpful host. Everything was awesome. Definitely recommend
Dalinda  was a very helpful hostess !,1,english,en-en,Dalinda  was a very helpful hostess !
"Only one word, awesome ",1,english,en-en,"Only one word, awesome "
"Nice room, we slept very well. Everything was fine.",1,english,en-en,"Nice room, we slept very well. Everything was fine."
"Thank you very much, it was great",1,english,en-en,"Thank you very much, it was great"
Good hostel in downtown Paris. Walkable to many sites. Staff was friendly and helpful.,1,english,en-en,Good hostel in downtown Paris. Walkable to many sites. Staff was friendly and helpful.
Wonderful stay.  Thank you Clement,1,english,en-en,Wonderful stay.  Thank you Clement
Awesome. Would stay again!,1,english,en-en,Awesome. Would stay again!
It is very nice.,1,english,en-en,It is very nice.
Very helpful.,1,english,en-en,Very helpful.
"Easy fast over night stay  
Thank you",1,english,en-en,"Easy fast over night stay  
Thank you"
Bernadette is a great hostess and made our stay in Paris like home.,1,english,en-en,Bernadette is a great hostess and made our stay in Paris like home.
Dovile is very nice!,1,english,en-en,Dovile is very nice!
Thank you Flore,1,english,en-en,Thank you Flore
Very good hostel :),1,english,en-en,Very good hostel :)
Romain was very nice and Available.,1,english,en-en,Romain was very nice and Available.
Great house.,1,english,en-en,Great house.
Christian is very good person. :),1,english,en-en,Christian is very good person. :)
Cute flat in a great location! Chelle was very helpful too!,1,english,en-en,Cute flat in a great location! Chelle was very helpful too!
Stay was okay. Very friendly host.,1,english,en-en,Stay was okay. Very friendly host.
"A nice, very clean hostel",1,english,en-en,"A nice, very clean hostel"
Good value.  Bring your own soap.,1,english,en-en,Good value.  Bring your own soap.
It was a very warm stay in Paris.,1,english,en-en,It was a very warm stay in Paris.
it's very okie,1,english,en-en,it's very okie
Sophie is very sweet,1,english,en-en,Sophie is very sweet
Wonderful stay. Close to everything. It felt like home away from home. Highly recommended.,1,english,en-en,Wonderful stay. Close to everything. It felt like home away from home. Highly recommended.
Everything was superrrr. Thank you Joe,1,english,en-en,Everything was superrrr. Thank you Joe
Very beautiful house! And Best house. Host is very kindness.,1,english,en-en,Very beautiful house! And Best house. Host is very kindness.
top pour un weekend,1,english,en-en,top pour un weekend
very good .,1,english,en-en,very good .
a very good hostel to stay in Paris,1,english,en-en,a very good hostel to stay in Paris
"Very nice house, Christel was helpful and nice. Recommended.",1,english,en-en,"Very nice house, Christel was helpful and nice. Recommended."
"Great stay, wonderful area.",1,english,en-en,"Great stay, wonderful area."
"Great place,  Greg is very nice. ",1,english,en-en,"Great place,  Greg is very nice. "
She was nice and very helpful,1,english,en-en,She was nice and very helpful
All was very gut. As usual,1,english,en-en,All was very gut. As usual
Everything was wonderful,1,english,en-en,Everything was wonderful
Room was very clean and beautiful. I enjoyed a lot during my stay.,1,english,en-en,Room was very clean and beautiful. I enjoyed a lot during my stay.
Camille was very friendly and helpful.,1,english,en-en,Camille was very friendly and helpful.
We loved our stay here. It is a wonderful Airbnb.,1,english,en-en,We loved our stay here. It is a wonderful Airbnb.
A very nice smiley welcome from Aurore. Cosy bedroom. 4th floor no lift.,1,english,en-en,A very nice smiley welcome from Aurore. Cosy bedroom. 4th floor no lift.
Great apartment. Sandrine was very helpful.,1,english,en-en,Great apartment. Sandrine was very helpful.
"great value, very nice host",1,english,en-en,"great value, very nice host"
Gorgeous home away from home.,1,english,en-en,Gorgeous home away from home.
Good house.,1,english,en-en,Good house.
very nice clean room.,1,english,en-en,very nice clean room.
very kind Yankel!,1,english,en-en,very kind Yankel!
Room ok,1,english,en-en,Room ok
we felt very homy,1,english,en-en,we felt very homy
Hot water ends when you take shower.,1,english,en-en,Hot water ends when you take shower.
Wonderful view!,1,english,en-en,Wonderful view!
A very nice man,1,english,en-en,A very nice man
Everything was just awesome :),1,english,en-en,Everything was just awesome :)
Close to metro's; in quite neighborhood,1,english,en-en,Close to metro's; in quite neighborhood
"Thank you Sherry, it was beautiful to stay in your studio. Paris is a wonderful town. ",1,english,en-en,"Thank you Sherry, it was beautiful to stay in your studio. Paris is a wonderful town. "
Danh was very helpful and we loved our stay!,1,english,en-en,Danh was very helpful and we loved our stay!
Great deal! Mehdi is very sweet and helpful host.,1,english,en-en,Great deal! Mehdi is very sweet and helpful host.
"Eric’s place is located in few minutes walk to Louvre museum, Eifel tower was walking distance as well. He is a very great host, very helpful.",1,english,en-en,"Eric’s place is located in few minutes walk to Louvre museum, Eifel tower was walking distance as well. He is a very great host, very helpful."
nice house nice view,1,english,en-en,nice house nice view
Had a wonderful time. Thank you so much,1,english,en-en,Had a wonderful time. Thank you so much
"Good stay, good standard and half way between Gare du Nord and Sacre Couer,  this place met my needs very well. ",1,english,en-en,"Good stay, good standard and half way between Gare du Nord and Sacre Couer,  this place met my needs very well. "
"Great place to stay, great host. Yoni was very helpful.",1,english,en-en,"Great place to stay, great host. Yoni was very helpful."
Het was top:),1,english,en-en,Het was top:)
All was very good.,1,english,en-en,All was very good.
"It was great, very clean & easy",1,english,en-en,"It was great, very clean & easy"
Week-end au top,1,english,en-en,Week-end au top
"Clean , easy to get to !",1,english,en-en,"Clean , easy to get to !"
As you see,1,english,en-en,As you see
Bruno is a wonderful host ! He made our work week in Paris superb!,1,english,en-en,Bruno is a wonderful host ! He made our work week in Paris superb!
It was wonderful,1,english,en-en,It was wonderful
"Ines was very hospitable, a very welcoming host!",1,english,en-en,"Ines was very hospitable, a very welcoming host!"
Very good house Gilbert is good,1,english,en-en,Very good house Gilbert is good
We had a wonderful visit. Thank you!,1,english,en-en,We had a wonderful visit. Thank you!
everything was awsome.,1,english,en-en,everything was awsome.
Easy,1,english,en-en,Easy
Alexandre was a very hospitality person.,1,english,en-en,Alexandre was a very hospitality person.
Pretty ordinary house.,1,english,en-en,Pretty ordinary house.
Wonderful host.,1,english,en-en,Wonderful host.
View is great & staff is helpful.,1,english,en-en,View is great & staff is helpful.
very good~~~,1,english,en-en,very good~~~
"Good stay, Thank you",1,english,en-en,"Good stay, Thank you"
"Yves was a wonderful host! Thanks, Yves!",1,english,en-en,"Yves was a wonderful host! Thanks, Yves!"
Tristan was very helpful and made our stay in Paris a great one.,1,english,en-en,Tristan was very helpful and made our stay in Paris a great one.
Tang is a wonderful host. Thank you!,1,english,en-en,Tang is a wonderful host. Thank you!
"Wonderful view
Awesome room
Kind host
Best place",1,english,en-en,"Wonderful view
Awesome room
Kind host
Best place"
The Studio was Great. Caroline was very helpful. Thank you :),1,english,en-en,The Studio was Great. Caroline was very helpful. Thank you :)
Ophélie was very helpful and we had a great stay.,1,english,en-en,Ophélie was very helpful and we had a great stay.
Wonderful time..Wonderful host..,1,english,en-en,Wonderful time..Wonderful host..
Clara was very helpful.... we enjoyed our stay...having a pizza place nearby was a bonus,1,english,en-en,Clara was very helpful.... we enjoyed our stay...having a pizza place nearby was a bonus
Never met John. Everything  was great.,1,english,en-en,Never met John. Everything  was great.
verry god,1,english,en-en,verry god
Good house great stay,1,english,en-en,Good house great stay
"We enjoyed our stay, thank you very much.",1,english,en-en,"We enjoyed our stay, thank you very much."
"Great neighborhood, great view, great hosts.",1,english,en-en,"Great neighborhood, great view, great hosts."
Great place. Very good location. Louis was very helpful.,1,english,en-en,Great place. Very good location. Louis was very helpful.
"Great spot near Canal St-Martin. Simon was wonderful to book with.

m",1,english,en-en,"Great spot near Canal St-Martin. Simon was wonderful to book with.

m"
It's noisy,1,english,en-en,It's noisy
good host,1,english,en-en,good host
"Large, very well located, nice garden",2,english,en-en,"Large, very well located, nice garden"
"Benedicte is a very kind lady, she gave me a lot of useful info, helped me to have a wonderful journey.",1,english,en-en,"Benedicte is a very kind lady, she gave me a lot of useful info, helped me to have a wonderful journey."
It was marvelous,1,english,en-en,It was marvelous
My colleague was very Happy.,2,english,en-en,My colleague was very Happy.
Very nice place to stay in Paris. Paul was very helpful.,1,english,en-en,Very nice place to stay in Paris. Paul was very helpful.
Beautiful apartment. Elsa was very helpful. Amazing stay.,1,english,en-en,Beautiful apartment. Elsa was very helpful. Amazing stay.
Absolutely wonderful in every regard!,1,english,en-en,Absolutely wonderful in every regard!
"Cosy and quiet, and Manualla is very helpful.",1,english,en-en,"Cosy and quiet, and Manualla is very helpful."
Here is easy to stay. Jay is very kind.,1,english,en-en,Here is easy to stay. Jay is very kind.
It was a very nice stay at Stevens place.,1,english,en-en,It was a very nice stay at Stevens place.
Simple but very nice.,1,english,en-en,Simple but very nice.
very Good｡,1,english,en-en,very Good｡
Jo was very accommodating! Thank you!,1,english,en-en,Jo was very accommodating! Thank you!
Some noise at night..,1,english,en-en,Some noise at night..
"Great place to stay, was very quiet so easy to sleep. Good value",1,english,en-en,"Great place to stay, was very quiet so easy to sleep. Good value"
Thank you very much. It was a very nice stay in Paris.,1,english,en-en,Thank you very much. It was a very nice stay in Paris.
wonderful room thank.,1,english,en-en,wonderful room thank.
